"Date","Open","High","Low","Close","Adj.Close","Volume"
2022-06-20,2600,2673.350098,2588.350098,2660.699951,2609.443115,1595360
2022-06-21,2674.949951,2710,2640,2678.350098,2626.753174,1042074
2022-06-22,2688,2707.949951,2626.350098,2666.350098,2614.984375,1871760
2022-06-23,2674.949951,2767.949951,2674.949951,2758.199951,2705.064941,1612872
2022-06-24,2775,2784.800049,2726,2760.899902,2707.712891,2215583
2022-06-25,NA,NA,NA,2760.899902,NA,NA
2022-06-26,NA,NA,NA,2760.899902,NA,NA
2022-06-27,2779.899902,2827.649902,2765,2820.949951,2766.605957,1295734
2022-06-28,2780,2784.800049,2704.300049,2726.5,2673.975342,1838358
2022-06-29,2706.5,2719,2678,2697.800049,2645.828125,1066354
2022-06-30,2714.850098,2726.949951,2680,2695.199951,2643.27832,1291447
2022-07-01,2704.899902,2780,2685,2773.149902,2719.726563,1477191
2022-07-02,NA,NA,NA,2773.149902,NA,NA
2022-07-03,NA,NA,NA,2773.149902,NA,NA
2022-07-04,2775.149902,2798,2744.800049,2790.300049,2736.546387,653147
2022-07-05,2785,2812.300049,2760,2766.600098,2713.302979,1073043
2022-07-06,2830.550049,2869,2805.149902,2861.399902,2806.276367,2085735
2022-07-07,2901.399902,2932,2876.800049,2891.399902,2835.698486,1469087
2022-07-08,2880,2888,2840.5,2879.800049,2824.322266,1274148
2022-07-09,NA,NA,NA,2879.800049,NA,NA
2022-07-10,NA,NA,NA,2879.800049,NA,NA
2022-07-11,2874,2940.550049,2851.350098,2933.050049,2876.546387,1081885
2022-07-12,2920,2923.25,2885.399902,2893.199951,2837.463867,1115524
2022-07-13,2949,2968.949951,2926.050049,2941.199951,2884.539307,2153712
2022-07-14,2952.100098,2954.850098,2912.399902,2939.149902,2882.528809,882479
2022-07-15,2949.949951,2985,2940.449951,2978.149902,2920.777588,1668006
2022-07-16,NA,NA,NA,2978.149902,NA,NA
2022-07-17,NA,NA,NA,2978.149902,NA,NA
2022-07-18,2994.75,3025,2988.399902,3017.850098,2959.713135,823390
2022-07-19,2983.449951,3023,2978.149902,3019.100098,2960.938721,638171
2022-07-20,3033,3044.699951,3000,3006.449951,2948.532471,867436
2022-07-21,2981,3084.949951,2981,3066.100098,3007.033203,1184060
2022-07-22,3066.100098,3092.75,3048,3067.399902,3008.30835,1268141
2022-07-23,NA,NA,NA,3067.399902,NA,NA
2022-07-24,NA,NA,NA,3067.399902,NA,NA
2022-07-25,3069.5,3117.199951,3051.649902,3104.949951,3045.134521,985844
2022-07-26,3096,3149.800049,3053,3108.5,3048.616211,2876310
2022-07-27,3118.949951,3193,3096,3186.050049,3124.672607,1976407
2022-07-28,3198,3280,3182,3272.399902,3209.358887,1332572
2022-07-29,3285.399902,3354.350098,3275,3333.75,3269.526855,1836550
2022-07-30,NA,NA,NA,3333.75,NA,NA
2022-07-31,NA,NA,NA,3333.75,NA,NA
2022-08-01,3340.050049,3355,3314.5,3324.550049,3260.504395,1076122
2022-08-02,3331,3404.75,3325.600098,3396.149902,3330.724854,1650536
2022-08-03,3404,3448,3371.25,3439.649902,3373.386719,1169005
2022-08-04,3455,3476.949951,3410.899902,3460.5,3393.835449,981434
2022-08-05,3475,3491.949951,3451.550049,3473.899902,3406.977051,792478
2022-08-06,NA,NA,NA,3473.899902,NA,NA
2022-08-07,NA,NA,NA,3473.899902,NA,NA
2022-08-08,3465,3476.949951,3436.550049,3458.449951,3391.824951,724644
2022-08-09,NA,NA,NA,3458.449951,NA,NA
2022-08-10,3441,3449.850098,3396,3411.649902,3345.92627,1089295
2022-08-11,3450,3477.949951,3390,3405.199951,3339.600586,1410533
2022-08-12,3399,3434.800049,3383,3427.850098,3361.814453,548472
2022-08-13,NA,NA,NA,3427.850098,NA,NA
2022-08-14,NA,NA,NA,3427.850098,NA,NA
2022-08-15,NA,NA,NA,3427.850098,NA,NA
2022-08-16,3470,3509.449951,3455.300049,3501,3433.555176,911189
2022-08-17,3517.949951,3545.649902,3504.600098,3523.699951,3455.817627,817912
2022-08-18,3525,3542.699951,3515.550049,3535.350098,3467.243652,599877
2022-08-19,3520,3538.5,3464,3482.550049,3415.460693,581829
2022-08-20,NA,NA,NA,3482.550049,NA,NA
2022-08-21,NA,NA,NA,3482.550049,NA,NA
2022-08-22,3462.100098,3485.550049,3333.199951,3349.75,3285.21875,2336567
2022-08-23,3333,3383.949951,3316.850098,3356.600098,3291.937012,831446
2022-08-24,3339.600098,3385,3302,3378.850098,3313.758301,1182154
2022-08-25,3375,3405.149902,3351.199951,3362.5,3297.723145,615392
2022-08-26,3379.350098,3384.5,3305.649902,3323.550049,3259.523682,1384783
2022-08-27,NA,NA,NA,3323.550049,NA,NA
2022-08-28,NA,NA,NA,3323.550049,NA,NA
2022-08-29,3247,3348.350098,3236.699951,3343.25,3278.843994,1031166
2022-08-30,3331,3409.75,3331,3391.600098,3326.262695,1426459
2022-08-31,NA,NA,NA,3391.600098,NA,NA
2022-09-01,3315,3474.399902,3315,3446.550049,3380.154297,1417762
